dataset,variant,model,aic,objective,n_params,mixture_proportion,params_json,source_file,nominal_ratio
BF_12,ci,hl,,15397.702703024472,11,,"[0.06, 0.878, 7.4891235549, 4.3614611342, 0.8235562435, 0.06, 0.878, 0.6510786199, 1.974539027, 596.5205018158, 447.1757544634]",CI_BF12.mat,1:2
BF_12,ci_500c,sto,,13450.94345935802,12,0.23484229451655364,"[0.2348422945, 1.0, 0.94, 0.878, 0.6515853982, 3.3296063147, 1.0, 0.94, 0.9860775901, 4.0654806643, 20.0, 200.0749716039]",CI_BF12_500c.mat,1:2
BF_12,ci_500c,dyn,,13395.887019781598,12,0.7675379848006412,"[0.7675379848, 0.4300424873, 0.3700424873, 0.878, 6.7791451902, 5.7449025599, 0.415100768, 0.355100768, 0.878, 0.7821733057, 2.0376849453, 88.1830452478]",CI_BF12_500c.mat,1:2
BF_12,ci_500c,hl,,15397.70270302446,11,,"[0.06, 0.878, 7.489123019, 4.3614618725, 0.823556246, 0.06, 0.878, 0.6510783737, 1.9745398815, 596.52050063, 447.1757629263]",CI_BF12_500c.mat,1:2
BF_21,ci,sto,,12078.930758002596,12,0.6167196924401808,"[0.6167196924, 1.0, 0.9567194886, 0.8820336002, 0.3953752919, 1.4165399273, 1.0, 0.94, 0.9848678785, 4.0751280533, 20.0, 100.0]",CI_BF21.mat,2:1
BF_21,ci,dyn,,12020.187246110361,12,0.6569014020025967,"[0.656901402, 0.6656322886, 0.6263477521, 0.9006035644, 0.4164814701, 1.3802212901, 0.2655981433, 0.2055981433, 0.9782587119, 4.6072495184, 8.1461930215, 27.2580412912]",CI_BF21.mat,2:1
BF_21,ci,hl,,14113.519526934222,11,,"[0.0393573476, 0.878, 0.4752688361, 1.3524118826, 0.6382111232, 0.06, 0.9859283808, 3.9460834985, 20.0, 353.1872403054, 199.2277330801]",CI_BF21.mat,2:1
BF_21,ci_10bd,sto,,12024.389671830679,12,0.6195907011118453,"[0.6195907011, 0.0392767726, 0.0, 0.8901773975, 0.4027856296, 1.2425740855, 3.8335478392, 3.7735478392, 0.878, 7.2356426166, 4.1957812508, 47.4276215881]",CI_BF21_10bd.mat,2:1
BF_21,ci_10bd,dyn,,12020.187236024187,12,0.34310648838530367,"[0.3431064884, 0.2656043025, 0.2056043025, 0.9781131913, 4.6163981562, 8.1047636161, 0.6656798077, 0.6263959211, 0.9006068219, 0.4164409774, 1.3803004983, 27.2536492214]",CI_BF21_10bd.mat,2:1
BF_21,ci_10bd,hl,,14113.519526933564,11,,"[0.06, 0.9859283805, 3.9460830256, 20.0, 0.3617888948, 0.0393573515, 0.878, 0.4752684623, 1.3524122487, 353.187251754, 199.2277183933]",CI_BF21_10bd.mat,2:1
BF_21,ci_500c,sto,,12061.255346413316,12,0.3600024013690629,"[0.3600024014, 1.0, 0.94, 0.9856250889, 4.1135776267, 20.0, 1.0, 0.9575187172, 0.8855740023, 0.3853504159, 1.4512727994, 121.3497748197]",CI_BF21_500c.mat,2:1
BF_21,ci_500c,dyn,,12020.187241620812,12,0.6568939320173263,"[0.656893932, 0.6657421045, 0.6264584788, 0.9006045936, 0.4164558136, 1.3803120514, 0.2655793234, 0.2055793234, 0.9781429052, 4.6146423203, 8.1127099367, 27.2653085684]",CI_BF21_500c.mat,2:1
BF_21,ci_500c,hl,,14113.519526933564,11,,"[0.06, 0.9859283805, 3.9460830256, 20.0, 0.3617888948, 0.0393573515, 0.878, 0.4752684623, 1.3524122487, 353.187251754, 199.2277183933]",CI_BF21_500c.mat,2:1
BF_41,ci,sto,,12275.734066756202,12,0.7091938579944201,"[0.709193858, 1.0, 0.9435355463, 0.8827880309, 0.4900700414, 1.2411272467, 1.0, 0.94, 0.878, 5.9565380928, 7.5909092556, 100.0]",CI_BF41.mat,4:1
BF_41,ci,dyn,,12021.12403825488,12,0.7406436138583785,"[0.7406436139, 0.8542114798, 0.8077780582, 0.9084325123, 0.4278925312, 1.4371665037, 0.2842605545, 0.2242605545, 0.9801946556, 4.0058919323, 20.0, 0.0]",CI_BF41.mat,4:1
BF_41,ci,hl,,14733.59017466093,11,,"[0.0475013955, 0.8949888871, 0.4296865229, 1.4320757573, 0.7211189716, 0.06, 0.9799565457, 4.0007425831, 20.0, 638.1918786221, 181.7811106565]",CI_BF41.mat,4:1
BF_41,ci_10bd,sto,,11901.284054125861,12,0.2544381006085553,"[0.2544381006, 2.0336145471, 1.9743925393, 0.878, 5.3445689934, 20.0, 4.6388983783, 4.5850808068, 0.878, 0.6435951018, 1.5327262623, 0.0073173244]",CI_BF41_10bd.mat,4:1
BF_41,ci_10bd,dyn,,12021.124021717545,12,0.7406417312078634,"[0.7406417312, 0.8543489879, 0.8079157332, 0.9084333631, 0.4278825359, 1.4372020226, 0.2842184007, 0.2242184007, 0.9801936837, 4.0059709581, 20.0, 0.093356139]",CI_BF41_10bd.mat,4:1
BF_41,ci_10bd,hl,,14733.59017466093,11,,"[0.06, 0.9799565457, 4.0007425831, 20.0, 0.2788810284, 0.0475013955, 0.8949888871, 0.4296865229, 1.4320757573, 638.1918786221, 181.7811106565]",CI_BF41_10bd.mat,4:1
BF_41,ci_500c,sto,,12128.267595786283,12,0.2667868122854815,"[0.2667868123, 1.0, 0.94, 0.9762498004, 4.1267949416, 20.0, 1.0, 0.9465334268, 0.8889710276, 0.4543066931, 1.2563550097, 182.0999472692]",CI_BF41_500c.mat,4:1
BF_41,ci_500c,dyn,,12021.123977992289,12,0.7406465353803384,"[0.7406465354, 0.854514834, 0.8080825265, 0.9084377222, 0.4278675589, 1.4373776035, 0.2842601517, 0.2242601517, 0.9801931549, 4.0058701156, 20.0, 0.0]",CI_BF41_500c.mat,4:1
BF_41,ci_500c,hl,,14733.590174660572,11,,"[0.0475014011, 0.8949887973, 0.4296869378, 1.4320748141, 0.7211189644, 0.06, 0.9799565552, 4.0007425997, 20.0, 638.1922266243, 181.7810507782]",CI_BF41_500c.mat,4:1
RESISTANT_250,point,sto,11352.584447020474,5670.292223510237,6,0.9510481783391266,"[0.9510481783, 0.8875493767, 0.878, 6.8451727154, 3.7472661376, 31.0213977376]",RESISTANT_250.mat,
RESISTANT_250,point,dyn,13052.856764403696,6520.428382201848,6,0.939945626578016,"[0.9399456266, 0.878, 0.878, 11.3846090642, 1.6444244389, 1.43227e-05]",RESISTANT_250.mat,
RESISTANT_250,point,hl,13704.363001164133,6846.181500582066,6,,"[0.0553645118, 0.8780000003, 6.679217993, 4.0441113006, 678.6895505934, 172.8866018556]",RESISTANT_250.mat,
RESISTANT_250_HL_MONO,point,sto,11352.58444583487,5670.292222917435,6,0.951064495073926,"[0.9510644951, 0.8875661478, 0.878, 6.8444408848, 3.7488580004, 31.0247062978]",RESISTANT_250_HL_MONO.mat,
RESISTANT_250_HL_MONO,point,dyn,13052.856764403688,6520.428382201844,6,0.9399456236852723,"[0.9399456237, 0.878, 0.878, 11.3846136294, 1.6444231222, 1.9444e-06]",RESISTANT_250_HL_MONO.mat,
RESISTANT_250_HL_MONO,point,hl,15625.89643147169,7806.948215735845,6,,"[0.06, 0.878, 8.218343639, 2.9567211027, 428.4490148813, 302.6292014305]",RESISTANT_250_HL_MONO.mat,
RESISTANT_250_HL_MONO_new,point,sto,11353.472192946487,5670.736096473243,6,0.953236096487039,"[0.9532360965, 0.8897759218, 0.878, 11.7771901268, 2.6249606729, 30.8893693276]",RESISTANT_250_HL_MONO_new.mat,
RESISTANT_250_HL_MONO_new,point,dyn,13046.26883144409,6517.134415722045,6,0.9408007128433282,"[0.9408007128, 0.878, 0.878, 29.8982564427, 0.9733099658, 0.0]",RESISTANT_250_HL_MONO_new.mat,
RESISTANT_250_HL_MONO_new,point,hl,15659.239024972443,7823.6195124862215,6,,"[0.06, 0.878, 15.5131578489, 2.0313477606, 413.4893114457, 308.6740566812]",RESISTANT_250_HL_MONO_new.mat,
RESISTANT_500,point,sto,11911.632532677582,5949.816266338791,6,1.0,"[1.0, 0.9346464757, 0.878, 11.694371764, 1.8926811637, 100.0]",RESISTANT_500.mat,
